Experience,Salary,Record_Count
-4,45009.0,2
-4,73702.0,2
-4,95270.0,2
-1,87767.0,2
-3,51189.0,2
-1,102136.0,2
-1,93338.0,2
-3,49402.0,2
0,-96198.0,2
-4,86814.0,2
8,-92770.0,2
-5,50098.0,2
0,-9212.0,2
-2,134489.0,2
-2,83612.0,2
3,-14183.0,1
3,-46964.0,1
3,-12443.0,1
15,-62381.0,1
0,-91425.0,1
11,-7014.0,1
2,-36169.0,1
1,-8376.0,1
12,-69517.0,1
-5,42265.0,1
-4,73726.0,1
6,-11460.0,1
2,-76532.0,1
-3,101579.0,1
4,-33184.0,1
2,-73156.0,1
-3,90153.0,1
8,-95399.0,1
0,-46724.0,1
1,-68566.0,1
10,-26615.0,1
-2,236335.0,1
12,-82584.0,1
1,-83291.0,1
-2,58571.0,1
-5,36413.0,1
-5,89121.0,1
5,-72539.0,1
2,-78142.0,1
-4,51780.0,1
2,-15445.0,1
0,-57667.0,1
2,-89949.0,1
14,-61190.0,1
-3,47711.0,1
-5,58931.0,1
12,-1748.0,1
7,-43126.0,1
-3,77491.0,1
1,-44197.0,1
-2,90272.0,1
5,-31791.0,1
5,-4100.0,1
9,-88188.0,1
-2,61831.0,1
-5,49064.0,1
3,-75871.0,1
8,-95245.0,1
-5,49971.0,1
-5,168120.0,1
-2,47937.0,1
0,-43033.0,1
15,-8917.0,1
-3,44566.0,1
-3,131986.0,1
6,-37859.0,1
-1,54538.0,1
-3,142492.0,1
-3,81296.0,1
16,-8176.0,1
9,-78177.0,1
3,-32718.0,1
8,-82539.0,1
2,-11763.0,1
5,-3301.0,1
7,-31496.0,1
-4,151705.0,1
2,-3571.0,1
1,-27302.0,1
1,-34053.0,1
-2,77772.0,1
-4,54309.0,1
-3,80097.0,1
-5,141754.0,1
5,-18300.0,1
-5,97574.0,1
-1,46101.0,1
-5,149239.0,1
7,-87807.0,1
4,-30290.0,1
2,-20364.0,1
6,-32086.0,1
17,-48804.0,1
-3,41443.0,1
10,-68663.0,1
-2,46812.0,1
-3,96204.0,1
-1,38829.0,1
5,-58317.0,1
-1,135778.0,1
-5,175250.0,1
0,-71013.0,1
8,-31257.0,1
4,-57594.0,1
-5,131449.0,1
-3,203905.0,1
-3,56520.0,1
3,-23274.0,1
-1,55260.0,1
-5,151038.0,1
0,-75222.0,1
7,-90235.0,1
7,-19647.0,1
1,-66599.0,1
-2,84618.0,1
4,-9282.0,1
13,-30265.0,1
-2,166981.0,1
6,-29115.0,1
1,-97783.0,1
15,-8968.0,1
14,-69817.0,1
8,-99643.0,1
-5,79998.0,1
4,-74910.0,1
-3,155193.0,1
18,-96924.0,1
0,-93958.0,1
7,-64537.0,1
-1,56300.0,1
-5,91558.0,1
-1,53590.0,1
7,-65729.0,1
-4,70543.0,1
12,-5307.0,1
1,-27891.0,1
6,-3975.0,1
-3,69194.0,1
21,-64823.0,1
-5,151018.0,1
28,-91207.0,1
14,-24981.0,1
2,-81833.0,1
-2,49247.0,1
7,-43624.0,1
4,-16131.0,1
1,-13057.0,1
3,-58776.0,1
-3,90514.0,1
3,-55048.0,1
5,-97339.0,1
-3,128094.0,1
19,-98337.0,1
-1,54685.0,1
6,-67014.0,1
2,-30350.0,1
-1,61242.0,1
-1,76401.0,1
2,-56193.0,1
4,-7714.0,1
-3,42200.0,1
1,-99673.0,1
0,-8008.0,1
1,-73867.0,1
0,-34639.0,1
-2,57216.0,1
5,-32835.0,1
7,-7764.0,1
3,-26319.0,1
-3,87922.0,1
1,-82034.0,1
-5,39943.0,1
-4,145044.0,1
10,-66273.0,1
-1,50147.0,1
-1,52302.0,1
-1,94785.0,1
5,-85949.0,1
-3,59999.0,1
7,-46421.0,1
-3,60251.0,1
15,-4053.0,1
8,-26189.0,1
11,-21615.0,1
-2,159962.0,1
2,-95502.0,1
12,-65091.0,1
-5,171139.0,1
-5,226380.0,1
6,-79264.0,1
12,-19557.0,1
-1,45626.0,1
4,-67647.0,1
7,-2636.0,1
0,-56420.0,1
-3,125681.0,1
-2,218294.0,1
7,-12450.0,1
1,-8200.0,1
6,-44046.0,1
13,-75395.0,1
4,-14529.0,1
0,-48587.0,1
-3,151335.0,1
2,-11928.0,1
4,-61321.0,1
6,-80598.0,1
3,-49205.0,1
-2,206343.0,1
0,-26499.0,1
4,-58001.0,1
15,-30295.0,1
-2,133031.0,1
5,-85474.0,1
-3,91036.0,1
6,-85513.0,1
-1,47680.0,1
-1,72967.0,1
1,-40183.0,1
19,-53161.0,1
-2,40941.0,1
-2,55650.0,1
10,-17014.0,1
3,-53620.0,1
3,-95566.0,1
-5,85331.0,1
16,-98837.0,1
1,-68690.0,1
1,-46148.0,1
-5,53670.0,1
3,-93716.0,1
-2,53023.0,1
5,-23093.0,1
-1,59187.0,1
-3,130388.0,1
27,-96756.0,1
1,-16874.0,1
-5,102873.0,1
-5,44313.0,1
-1,52727.0,1
6,-77392.0,1
5,-33791.0,1
-4,74902.0,1
-3,141907.0,1
3,-79546.0,1
-3,45148.0,1
-5,82002.0,1
-4,58966.0,1
9,-43955.0,1
0,-40513.0,1
4,-23645.0,1
24,-80931.0,1
-4,57302.0,1
5,-80195.0,1
-3,70629.0,1
2,-11569.0,1
2,-21467.0,1
2,-49807.0,1
-2,53599.0,1
0,-321.0,1
10,-20352.0,1
16,-79788.0,1
-3,44014.0,1
5,-67828.0,1
4,-79523.0,1
6,-54629.0,1
3,-34983.0,1
1,-78681.0,1
-2,59672.0,1
22,-21743.0,1
15,-20048.0,1
-3,60568.0,1
10,-20221.0,1
6,-96236.0,1
10,-72797.0,1
-5,88325.0,1
-2,89163.0,1
-1,57076.0,1
0,-90706.0,1
7,-39575.0,1
-5,51621.0,1
-1,235778.0,1
-2,133887.0,1
6,-32552.0,1
